Tweet_content,Sentiment score
"RT @NewsRajwar: The adept #team of #doctors to include the Regimental Medical #Officer  and doctors from #District #Hospital ,Handwara  werâ€¦",0
You don't have to go to the #hospital if you have the #coronavirus. Only some people have to because theirâ€¦ https://t.co/iiPYsoV7z3,0
"Healthcare Executive wishes everyone a very Happy Dussehra..!

#healthcare #hospital #happydussehra2020 #Dussehraâ€¦ https://t.co/ewl5dWPfAw",1
@narendramodi Please provide #Hospital for human in every village,0
#Texas governor requests use of El Paso-area #military #hospital for non-#COVID-19 patients as casesÂ surge https://t.co/OhmpyGbMmA,0
RT @NeilFlochMD: @ASlavitt Many #Hospital systems are on the verge of bankruptcy and cannot stop elective #surgery - also doing so has beenâ€¦,0
RT @NeilFlochMD: @ASlavitt Many #Hospital systems are on the verge of bankruptcy and cannot stop elective #surgery - also doing so has beenâ€¦,0
@ASlavitt Many #Hospital systems are on the verge of bankruptcy and cannot stop elective #surgery - also doing so hâ€¦ https://t.co/9JMxJew3UD,0
"Good Morning ! â¤ï¸ 
New Hope â¤ï¸ New Life â¤ï¸ Baby for youâ¤ï¸
#wish #fertility #ivf #Hospital https://t.co/Iiae4NtJnR",1
"DC G'bl conducts surprise visit of District #Hospital, inspects ongoing #works

24 Oct 2020 || 11:30 PM
  https://t.co/xU2FY5eSUY",1
One #patient fall is one too many. Stryker has launched the industryâ€™s first and only completely wireless #hospitalâ€¦ https://t.co/NfguKXpLOS,0
@JennyMikakos sending people home from #Hospital and #Rehab to #AgedCare without getting a negative #coronavirus teâ€¦ https://t.co/MKC5GvTsAn,-1
So itâ€™s sending people home from #Hospital and #Rehab to #AgedCare without getting a negative #coronavirus test resâ€¦ https://t.co/H2djrOI5tY,-1
@VictorianCHO @MartinFoleyMP @DanielAndrewsMP Back to not sending people home from #Hospital and #Rehab before theyâ€¦ https://t.co/7UajaNXi09,0
"#Governor asks to use El Paso #Military #Hospital as #Covid-19 #Surges
https://t.co/X5gpXgEgMX https://t.co/2CYz2UDUGg",0
Fuck this leg. #hospital #er https://t.co/sJo6z70hJx,-1
"Where exactly is #BillBarr, in #hospital with #coronavirus or in #hiding somewhere else? #GOPBetrayedAmericaâ€¦ https://t.co/ySZG3sbfdA",0
RT @Travelaviator: #Hospital #Physicians #Staff #CorporateEvent #CompanyPicnic in #MiamiBeachFlorida included #Caricature Entertainment byâ€¦,-1
"RT @Iamkelley2: What an absolutely flawless transition today. 
#teamwork 
#hospital 
#underoneroof
#history",1
"Coronavirus, Your Hospital, and Crisis Communications- Key Principles to Use. #hospital #crisiscommunicationsâ€¦ https://t.co/z8kWk0AsBZ",-1
Where Are All The Patients? And How Do You Get Them Back?  #hospital #covid19 #healthcare #marketing #patientâ€¦ https://t.co/K9iMGlo8fv,1
Hospital Grassroots Marketing - Seven Ideas To Lead the Community Out Of The Pandemic #hospital #leadershipâ€¦ https://t.co/ZP74TVpAv5,1
Have You Completed a Hospital Marketing Department Audit?  #marketingaudit #pandemic #hospital #transformationâ€¦ https://t.co/QNrFnFrAPA,0
Four Basic Questions in Are You Ready for Hospital Price Transparency?  #pricetransparency #hospital #marketingâ€¦ https://t.co/8lCvmSAyDb,1
"Building the Hospital 2021 Marketing Budget &amp; Plan â€“ Ten Key Strategies #marketing, #budget, #planning, #hospital,â€¦ https://t.co/rYpG2Y9zUL",0
"What an absolutely flawless transition today. 
#teamwork 
#hospital 
#underoneroof
#history https://t.co/qAdY8OYtsr",1
RT @katarina1993: @RBandH @Newsweek Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lâ€¦,-2
Physician practices: #Health #Medicare #Medicaid #Medical #caregivers #caregiving #caregiver #Medicaid #hospitalâ€¦ https://t.co/XCdBvKe5I7,0
"RT @angie_renati: @AbhishekExpose PEOPLE FOR ANIMALS MUST BE REMOVED FROM #SPCAKANPUR  "" #shelter  and #hospital ""

#SACRED  #cows SKINNEDâ€¦",0
#SinceSeptember I went on a bender and only now am out #Hospital feeling much better maybe I'll start myâ€¦ https://t.co/i5kAWqukrk,1
RT @katarina1993: @RBandH Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lot of non-â€¦,-2
RT @katary1993: @frhtdar @Dr_Khan @PmlnMedia @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and bâ€¦,1
RT @katary1993: @Dr_Khan @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-aâ€¦,-1
RT @katarina1993: @RBandH @Newsweek Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lâ€¦,-2
RT @katary1993: @Dr_Khan @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-aâ€¦,-1
RT @katarina1993: @RBandH @Newsweek Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lâ€¦,-2
RT @MrsQuincent: This is what it is like for staff working on the frontline in #hospital during #COVID19 anyone who thinks the #PandemicIsOâ€¦,1
RT @katarina1993: @RBandH @Newsweek Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lâ€¦,-2
"RT @shrstraker: PRESIDENT DONALD #TRUMP 
#HEALTHCARE PLAN 
WILL REQUIRE #DRUG COMPANIES 
#INSURANCE COMPANIES 
AND #HOSPITAL TO #DISCLOSEDâ€¦",1
RT @katarina1993: @RBandH @Newsweek Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-a lotâ€¦,-1
@RBandH @Newsweek Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drugâ€¦ https://t.co/sOKycC1OWX,-1
RT @katarina1993: @RBandH Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lot of non-â€¦,-2
@RBandH Real feedback -#RBHT is also #hospital  provided to #patient #violent #care and brutal drug #abuses-a lot oâ€¦ https://t.co/fR8jCnn6IN,-2
"With #COVID19 &amp; other pandemics looming reducing #patientsafety

Who shouldn't have input into #hospital designs anâ€¦ https://t.co/DSxHsewzFJ",0
RT @katarina1993: @RBandH @Newsweek Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-a lotâ€¦,-1
RT @katary1993: @frhtdar @Dr_Khan @PmlnMedia @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and bâ€¦,1
RT @katary1993: @Dr_Khan @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-aâ€¦,-1
"More cases of #COVID19 were discovered in a third unit of #Winnipeg's St. Boniface #Hospital, according to an interâ€¦ https://t.co/XFgsJJq2JI",0
"RT @jobiclub: Medcare Hospital Careers &amp; Jobs | Dubai &amp; Sharjah | UAE
APPLY NOW: https://t.co/GxvBfOKhW8
 #amp #careers #dubai #hospital #jâ€¦",0
RT @MrsQuincent: This is what it is like for staff working on the frontline in #hospital during #COVID19 anyone who thinks the #PandemicIsOâ€¦,1
RT @Travelaviator: #Hospital #Physicians #Staff #CorporateEvent #CompanyPicnic in #MiamiBeachFlorida included #Caricature Entertainment byâ€¦,-1
RT @Bonniecomm: Yes! All #hospital workers are s/heroes. https://t.co/2cHqWPEW8q,0
RT @katarina1993: @RBandH @Newsweek Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-a lotâ€¦,-1
RT @katarina1993: @RBandH @Newsweek Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-a lotâ€¦,-1
@RBandH @Newsweek Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abusesâ€¦ https://t.co/5MLn487bpf,-1
RT @katary1993: @frhtdar @Dr_Khan @PmlnMedia @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and bâ€¦,1
RT @katary1993: @Dr_Khan @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-aâ€¦,-1
RT @katary1993: @Dr_Khan @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drug #abuses-aâ€¦,-1
@Dr_Khan @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and brutal drugâ€¦ https://t.co/uhISoLfsru,0
RT @katary1993: @frhtdar @Dr_Khan @PmlnMedia @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence by #staff and bâ€¦,1
@frhtdar @Dr_Khan @PmlnMedia @MaryamNSharif Be aware-#RBHT is also #hospital  provided to #patient violence byâ€¦ https://t.co/WmQsqqrO1b,1
Know the ways to #Foster the #operationaleffeciency of your #hospital / #pharmacies by a robust &amp; scalableâ€¦ https://t.co/pNbOvdsvfD,1
Know the ways to #Foster the #operationaleffeciency of your #hospital / #pharmacies by a robust &amp; scalableâ€¦ https://t.co/411UMhCyjY,1
#COVID19 #USA #America #AmericaWakeUp #GenZ #Millennials  #GenX #hospital #SaturdayThoughts #vote #VoteEarlyâ€¦ https://t.co/wkU9dIyE3g,0
RT @CityMaaS: Very proud that our #technology helps people in this way! Being able to aid #hospital visits and hopefully take some #anxietyâ€¦,0
RT @CityMaaS: Very proud that our #technology helps people in this way! Being able to aid #hospital visits and hopefully take some #anxietyâ€¦,0
RT @MrsQuincent: This is what it is like for staff working on the frontline in #hospital during #COVID19 anyone who thinks the #PandemicIsOâ€¦,1
RT @reachout_to: #ReachOutToronto and @CityofToronto invite #hospital staff and #emergency #FirstResponders to a #townhall on Nov 3 to discâ€¦,-1
This is what it is like for staff working on the frontline in #hospital during #COVID19 anyone who thinks theâ€¦ https://t.co/D3wXVzG6qp,1
"Saving King - A shot rings out &amp; a King dies. #nonfiction #BHM #hospital #amreading
https://surgicalfiction/books/0â€¦ https://t.co/1uxfuV2Igh",-1
@HabisNontonFilm Hospital Playlist Squad â¤ï¸ðŸ’• #HospitalPlaylist #HospitalPlaylist2 #Kdrama #Drakor #Korean #Medicalâ€¦ https://t.co/6594IXNJJk,0
@johnGyounger is bringing to the discussion the fact that in each #hospital there are people #supportingðŸ‘‹ and #OPPOSINGðŸ›‘ #innovation,2
#Tchad #Offline #hospital is an #startup focusing on the availability of medical resources for remote areas It is aâ€¦ https://t.co/unKwreePwT,0
"Full meal being served at DDU #Hospital,shimla for #corona patients. The govt, the hospital staff are trying to doâ€¦ https://t.co/5Dw0n2pyjb",0
RT @Travelaviator: #Hospital #Physicians #Staff #CorporateEvent #CompanyPicnic in #MiamiBeachFlorida included #Caricature Entertainment byâ€¦,-1
#Hospital #Physicians #Staff #CorporateEvent #CompanyPicnic in #MiamiBeachFlorida included #Caricature Entertainmenâ€¦ https://t.co/wInzxfOjyk,-1
"#Coronavirus current #hospitalizations for the U.S. using @COVID19Tracking data.  
| #COVID19 | #SARSCoV2 |â€¦ https://t.co/1zsRFCRlXI",0
@AndreaCasama myr. Check your dmâ€™s hahaha its urgent...between life and death. #hospital,-2
"RT @TheSHCI: @shafiahmed5 is talking about #voice detection of #diseases while you are walking into #hospital. #NLP, #voicereocgnition, #imâ€¦",0
"RT @TheSHCI: @shafiahmed5 is talking about #voice detection of #diseases while you are walking into #hospital. #NLP, #voicereocgnition, #imâ€¦",0
"@shafiahmed5 is talking about #voice detection of #diseases while you are walking into #hospital. #NLP,â€¦ https://t.co/pubJ8KtNFI",0
"RT @HumanityFirstUK: ðŸ¥ Work is well underway for the Brand New #Hospital being built in Yopougon, south of CÃ´te dâ€™Ivoire #IvoryCoast

You câ€¦",2
"RT @VaseemA68089365: @BloodDonorsIn 
 #it's_an_emergency

 Need #B' positive blood
At  #Chouri Road, Bhadohi, Uttar Pradesh
#hospital #Mitaâ€¦",0
"RT @VaseemA68089365: @BloodDonorsIn 
 #it's_an_emergency

 Need #B' positive blood
At  #Chouri Road, Bhadohi, Uttar Pradesh
#hospital #Mitaâ€¦",0
"RT @VaseemA68089365: @BloodDonorsIn 
 #it's_an_emergency

 Need #B' positive blood
At  #Chouri Road, Bhadohi, Uttar Pradesh
#hospital #Mitaâ€¦",0
"RT @VaseemA68089365: @BloodDonorsIn 
 #it's_an_emergency

 Need #B' positive blood
At  #Chouri Road, Bhadohi, Uttar Pradesh
#hospital #Mitaâ€¦",0
"RT @VaseemA68089365: @BloodDonorsIn 
 #it's_an_emergency

 Need #B' positive blood
At  #Chouri Road, Bhadohi, Uttar Pradesh
#hospital #Mitaâ€¦",0
The confidentiality of complainants who raise issues in hospitals needs to be maintained.  #FMTNews #Hospitalâ€¦ https://t.co/bEC4NxI2HM,-1
"@BloodDonorsIn 
 #it's_an_emergency

 Need #B' positive blood
At  #Chouri Road, Bhadohi, Uttar Pradesh
#hospitalâ€¦ https://t.co/O6pXixSSgG",0
"Any tips on what to pack for my ""visit"" to the hospital? (Psych ward edition)
#psychward
#hospital",0
"In view of the shortage, if a surgery is not urgent the patients are told to come later. The #hospital is facingâ€¦ https://t.co/EPIDr28rQQ",-2
Proper #training and implementation of electronic health records #EHRs can improve a #hospitalâ€™s ability to provideâ€¦ https://t.co/7LMJdOJUai,2
RT @HopkinsAMP: Yup investment up front in #hospital #everyBODYmoves reduces total cost of #healthcare,0
"RT @inpho_ventures: Yes, but what about the reality of its limited use in #hospital  &lt; 1%... #AI this panel is a revelation! Canâ€™t make it?â€¦",0
It is the summer of 1863 &amp; hell is in session - Battlefield surgery. #kindle #medfiction #hospital #amreadingâ€¦ https://t.co/HBdu9omqD1,-1
JN Adams Memorial #Hospital 4/4 . Each picture wasnâ€™t taken that deep into the place. each is the beginning hallwayâ€¦ https://t.co/lvM6OGtjCn,0
"RT @NewsRajwar: The adept #team of #doctors to include the Regimental Medical #Officer  and doctors from #District #Hospital ,Handwara  werâ€¦",0
"RT @oldhallpersian: A #sycamore tree in #ArrowePark #hospital car park on the #Wirral peninsula in #Merseyside, under halogen lights followâ€¦",0
If you constantly push #wheelchairs putting on @iTipHandles are a real #GameChanger.  #carers #hospital #mobilityâ€¦ https://t.co/akcmI5pg6m,0
Yes! All #hospital workers are s/heroes. https://t.co/2cHqWPEW8q,0
"RT @oldhallpersian: A #sycamore tree in #ArrowePark #hospital car park on the #Wirral peninsula in #Merseyside, under halogen lights followâ€¦",0
Sneak peel Altnagelvin Scott Mural coming home to #altnagelvin hospital #derry #art  #hospital https://t.co/loX7Qh3v0E,-1
Poland venue as hospital with COVID spike #Warsaw #Poland #coronavirus #hospital #stadium https://t.co/wXkX2laQC5 #GSVA #coliseumsummit,0
"RT @HeliSanit: Symptoms, Diagnosis and Treatment for Fibroids in Marbella #marbella #marbs #hospital #puertobanus #healthnews #medicalnewsâ€¦",-1
"The latest #coronavirus death figures for each #hospital in Greater #Manchester 
#CoronaVirusUpdates #coronavirusukâ€¦ https://t.co/FclbVUv25D",-1
"#Gadap suffers as only #hospital barely functional

""The hospital is open for only five hours in the morning,""â€¦ https://t.co/wq8pTCb3PT",-1
"RT @NeilFlochMD: #obesity increases the risk of getting #Covid19, being admitted to the #hospital, need for an #icu admission and #ventilatâ€¦",-1
"Symptoms, Diagnosis and Treatment for Fibroids in Marbella #marbella #marbs #hospital #puertobanus #healthnewsâ€¦ https://t.co/JV1z2ecq8Z",-1
RT @HFI1995: The #medical team at the HF Masroor #Hospital in Dakar #Senegal are offering a growing range of #surgical procedures https://tâ€¦,0
"RT @angie_renati: @AbhishekExpose PEOPLE FOR ANIMALS MUST BE REMOVED FROM #SPCAKANPUR  "" #shelter  and #hospital ""

#SACRED  #cows SKINNEDâ€¦",0
"RT @yashpateltm: The 64-year-old patient suffering from #coronavirus died at Mumbai's Kasturba Hospital.
#india #WHO #hospital https://t.coâ€¦",-1
#Milan's #hospital #Covid19 intensive care units full https://t.co/9Q95Ksk4hv,0
"Somewhere in #Delhi 
#coronavirus being taken to #hospital 

#humour #humournoir https://t.co/NmwxG9OlgW",1
"RT @NeilFlochMD: #obesity increases the risk of getting #Covid19, being admitted to the #hospital, need for an #icu admission and #ventilatâ€¦",-1
"RT @NeilFlochMD: #obesity increases the risk of getting #Covid19, being admitted to the #hospital, need for an #icu admission and #ventilatâ€¦",-1
"RT @NeilFlochMD: #obesity increases the risk of getting #Covid19, being admitted to the #hospital, need for an #icu admission and #ventilatâ€¦",-1
"RT @vpslakeshore: Testimonial of Raymol Jithin on her successful recovery after a road accident
#testimonial #patienttestimonial #hospitalâ€¦",2
Yup investment up front in #hospital #everyBODYmoves reduces total cost of #healthcare https://t.co/6lwtw8heXl,0
RT @reachout_to: #ReachOutToronto and @CityofToronto invite #hospital staff and #emergency #FirstResponders to a #townhall on Nov 3 to discâ€¦,-1
RT @CleveClinicFL: #CleveClinicFL is more than just the a top #hospital in South Florida. @USNews also ranked us among the best hospitals iâ€¦,2
"Loving this at #Pinderfields #Hospital
#NHS 
@YorksAmbulance https://t.co/QOGQ1AR15w",1
RT @AARPpolicy: What happens when #hospital staff &amp; clinicians build strong relationships with #family caregivers? Find out from healthcareâ€¦,1
